d45e497 was Syukri Zainal, 2 minutes ago, message: Fixed
cbce053 was Ahbar Sakib, 8 weeks ago, message: Google map showing the latitude and longitude of an input and an example of the location
7f1fcf5 was Syukri Zainal, 9 weeks ago, message: TRY
58fc31f was Ahbar Sakib, 9 weeks ago, message: Updated txt file
63f92e3 was danish3r, 9 weeks ago, message: Merge pull request #2 from danish3r/danish-branch
2697443 was Danish Firdaus, 9 weeks ago, message: Create helloz.txt
4d145bd was Ahbar Sakib, 9 weeks ago, message: This is a test txt file
fb0dfeb was Danish Firdaus, 9 weeks ago, message: Update index.html
ab92496 was Syukri Zainal, 9 weeks ago, message: First Commit
5452ee5 was Syukri, 9 weeks ago, message: Delete index.html
723b3be was Syukri Zainal, 9 weeks ago, message: First commit
cd1152a was Syukri Zainal, 9 weeks ago, message: First commit
